"Phase ID","Category","Meeting Section","Title","Priority","Status","Tested Functional","Description","Action Items","Files Affected","Verification / How to Test","Owner","Notes"
"P1.1","Procurement","[0:07-4:17] Clinic Procurement and Inventory Budgeting","Defense-ready procurement documentation","High","done","yes","Current reorder system supports direct clinic-personnel ordering without a head-nurse dependency while retaining permission checks, one open request per item, a controlled lifecycle, and transactional audit events. Defense scope and non-goals are documented.","(a) Have clinic personnel approve the defense wording and monthly-budget boundary. (b) Keep the permission matrix and audit trail in the demo. (c) Revisit the workflow only if an actual approving role or budget-enforcement requirement is introduced.","docs/CLINIC_PROCUREMENT_DEFENSE.md; backend/app/Modules/Clinic/Services/ReorderService.php; backend/app/Modules/Clinic/Services/ReorderAutoCheckService.php; backend/app/Commands/ReorderAutoCheck.php","Open Inventory → Reorders as an authorized clinic user, create or auto-trigger a pending request, transition it through the permitted lifecycle, drain the audit outbox, and confirm `clinic.reorder_requested` plus transition events appear on the Audit page. Confirm a duplicate open request is rejected.","—","Defense notes now explain purpose, permissions, safeguards, auditability, and the explicit absence of software budget enforcement."
"P2.1","Inventory","[4:30-6:32] Inventory Status, Dispensing, and Ledger Tracking","Rename `ledger` → `transactions` and `balance` → `stock` across UI copy","High","in_progress","no","Web user-facing inventory copy now uses `Transactions`, `Stock after`, and `stock transactions`; persistent/API fields such as `balance_after` remain unchanged for compatibility. No corresponding user-facing ledger/balance copy was found in the current mobile inventory and medicine screens.","(a) Run the live web workflow and accessibility check. (b) Confirm reports/PDFs introduced by later work use the same vocabulary. (c) Capture the updated screen for the defense deck.","frontend/src/pages/InventoryPage.tsx; frontend/src/pages/DashboardPage.tsx; frontend/src/pages/ReportsPage.tsx","Open Inventory → Medicines and Supplies → Transactions. Confirm the dialog title says `Transactions`, the running column says `Stock after`, and error/help text does not say ledger or balance. Verify the dashboard inventory summary uses `stock transactions`.","—","Implementation, typecheck, lint, and production build pass. Live browser verification remains before marking done."
"P2.2","Inventory","[4:30-6:32] Inventory Status, Dispensing, and Ledger Tracking","Scrollable transactions panel with running stock","High","in_progress","no","The existing medicine and supply endpoints already return per-row `balance_after`. The web now exposes both histories in bounded scrollable transaction dialogs with signed In/Out columns and a visible `Stock after` column; no redundant endpoint alias is required.","(a) Run the live workflow against histories longer than five rows. (b) Confirm oldest-first ordering and stored running stock for receive/dispense/adjust/write-off events. (c) Add the equivalent transaction-history sheet to mobile if mobile mutation/history parity is required by stakeholders.","frontend/src/pages/InventoryPage.tsx; frontend/src/hooks/useMedicines.ts; frontend/src/hooks/useInventory.ts","Pick medicine and supply histories with more than five transactions. Open Transactions, scroll through all rows, and reconcile every `Stock after` value with its signed In/Out change. Confirm loading, empty, and failure states.","—","Web implementation and build are complete; integrated data reconciliation and the optional mobile history surface remain."
"P3.1","Inventory","[6:53-15:34] Inventory Forecasting and Stock Level Statuses","Replace vague `Low` / `Critical` with explicit `Needs to Reorder` and `Out of Stock` labels","High","in_progress","no","A canonical hard-number policy now derives `in_stock`, `needs_to_reorder`, or `out_of_stock` for both medicines and supplies. API DTOs expose `stock_status`, and web/mobile inventory surfaces render the explicit `In Stock`, `Needs to Reorder`, and `Out of Stock` labels while retaining `low_stock` only as a compatibility/filter field.","(a) Apply the target-stock migration in the integration environment. (b) Exercise all three status transitions with real inventory movements. (c) Confirm any later CSV/PDF exports use the same explicit labels. (d) Capture updated defense screenshots.","backend/app/Services/Inventory/StockLevelPolicy.php; backend/app/Modules/Clinic/DTOs/MedicineDto.php; backend/app/Modules/Clinic/DTOs/InventoryItemDto.php; frontend/src/pages/InventoryPage.tsx; frontend/src/schemas/medicines.ts; frontend/src/schemas/inventory.ts; mobile/lib/features/medicines/medicines_screen.dart; mobile/lib/features/inventory/inventory_screen.dart","Set threshold=10. At stock 0 confirm `Out of Stock`; at stock 3 confirm `Needs to Reorder`; above 10 confirm `In Stock`. Run `php vendor/bin/phpunit --filter StockLevelPolicyTest`, then verify the same labels in web and mobile.","—","Policy tests, backend suite (183 tests / 434 assertions), web typecheck/lint/build, and targeted Dart analysis pass. Live database/UI verification remains before marking done."
"P3.2","Inventory","[6:53-15:34] Inventory Forecasting and Stock Level Statuses","Hard-threshold auto-check (no percentage rules)","High","done","yes","Auto-check uses the fixed integer rule `quantity_on_hand <= reorder_level/reorder_threshold`; no percentage calculation participates in the trigger. Replenishment quantity is delegated to the target-stock policy without changing that threshold rule.","(a) Preserve the hard-number trigger and its contract tests. (b) Keep percentage-based stock triggers out of reorder services. (c) Validate configured replenishment targets under P3.3.","backend/app/Modules/Clinic/Services/ReorderService.php; backend/app/Services/Inventory/StockLevelPolicy.php; backend/tests/unit/StockLevelPolicyTest.php","Configure threshold=5 and stock=5, run `POST /clinic/reorders/auto-check`, and confirm a pending request is created. Review `ReorderService` and confirm the trigger is a direct integer comparison with no stock percentage.","—","Hard-threshold behavior is preserved and the full backend suite passes 183 tests / 434 assertions."
"P3.3","Inventory","[6:53-15:34] Inventory Forecasting and Stock Level Statuses","Configurable maximum stock and reorder target","High","in_progress","no","An additive migration introduces nullable `target_stock` on medicines, supplies, and reorder snapshots. Create/edit flows validate target > threshold; auto-check and manual suggestions use `target_stock - quantity_on_hand`. Existing positive-threshold rows are backfilled to their former two-times-threshold behavior for a safe rollout, and null legacy rows retain that fallback until edited.","(a) Apply and roll back the migration in a disposable integration database. (b) Have clinic staff replace provisional backfilled targets with approved hard values. (c) Run the real auto-check at the 40/120 example and inspect the persisted reorder snapshot. (d) Confirm authorized review can still change a manual request quantity.","backend/app/Database/Migrations/2026-08-13-000010_InventoryTargetStock.php; backend/app/Services/Inventory/StockLevelPolicy.php; backend/app/Modules/Clinic/Services/ReorderService.php; backend/app/Modules/Clinic/Services/InventoryService.php; backend/app/Modules/Clinic/Services/MedicineService.php; backend/app/Modules/Clinic/DTOs/InventoryItemDto.php; backend/app/Modules/Clinic/DTOs/MedicineDto.php; backend/app/Modules/Clinic/DTOs/ReorderDto.php; frontend/src/pages/InventoryPage.tsx; frontend/src/schemas/inventory.ts; frontend/src/schemas/medicines.ts; mobile/lib/features/inventory/inventory_screen.dart; mobile/lib/features/medicines/medicines_screen.dart","Configure threshold=40 and target=120. Policy tests confirm stock 40 proposes 80 and stock 0 proposes 120. Apply the migration, run auto-check in the integration database, and confirm those quantities plus the `target_stock` reorder snapshot.","—","Implementation and static/unit verification pass. Database migration execution and integrated reorder workflow remain before marking done."
"P4.1","Encounters","[15:47-22:14] Patient Encounters and Medical Records Management","Auto-prefill height/weight from previous encounter","High","in_progress","no","A privacy-scoped encounter endpoint now finds the latest height/weight from a different, unarchived encounter for the same canonical patient (with school-ID fallback for legacy rows). The web vitals form auto-fills only untouched height/weight fields, identifies the source encounter/date, and explicitly requires current measurement of BP, pulse, temperature, and SpO2.","(a) Run the two-visit workflow against the integration database. (b) Confirm user-entered values made before the query returns are never overwritten. (c) Verify a patient with no prior measurements gets blank fields. (d) Add equivalent behavior if mobile later gains vitals mutation support.","backend/app/Modules/Clinic/Services/ClinicService.php; backend/app/Modules/Clinic/Controllers/ClinicController.php; backend/app/Modules/Clinic/Routes.php; backend/tests/unit/PreviousHeightWeightContractTest.php; frontend/src/schemas/clinic.ts; frontend/src/hooks/useClinic.ts; frontend/src/pages/ClinicPage.tsx","For a patient with two encounters, record 60kg/170cm in the first. Open Record vitals on the second and confirm both values and the source hint appear. Override weight to 61 and save. Confirm BP/temp/pulse/SpO2 remain blank until measured. Run `php vendor/bin/phpunit --filter PreviousHeightWeightContractTest`.","—","Backend suite passes 185 tests / 438 assertions; web typecheck and lint pass. Live database/browser verification remains before marking done."
"P4.2","Encounters","[15:47-22:14] Patient Encounters and Medical Records Management","Step-organize the encounter workflow","Medium","done","yes","The encounter actions follow Vitals → Assessment / Progress → Treatments → Complete. The care surface now explicitly labels its clinical-notes section `Assessment / Progress` and `Diagnosis / progress notes`, matching the panel's terminology without changing the stored compatibility field.","(a) Preserve the sequence as the encounter UI evolves. (b) Validate the Assessment / Progress wording with clinic staff. (c) Add a visual step indicator only if usability testing shows the action order is still unclear.","frontend/src/pages/ClinicPage.tsx","Open an encounter and walk Record vitals → Care: Assessment / Progress → Treatments → Complete encounter. Confirm the labels and confirmation make the order clear.","—","Existing structure retained; wording is now explicit and web typecheck/lint pass."
"P4.3","Encounters","[15:47-22:14] Patient Encounters and Medical Records Management","Medicine autocomplete (not modal) inside treatment","Medium","in_progress","no","The treatment medicine field now uses the accessible `ComboboxField` instead of a normal select. It searches loaded generic and brand names, displays stock on hand, supports keyboard navigation, and stores the selected medicine ID without opening another modal.","(a) Run the live keyboard/pointer workflow. (b) Confirm unavailable/archived medicines are not offered by the source query. (c) Submit a medication treatment and capture a defense screenshot.","frontend/src/components/ComboboxField.tsx; frontend/src/pages/ClinicPage.tsx","Open encounter → Care → Treatments, select Medication, type `par`, confirm matching medicines filter live, use ArrowDown/Enter to select, enter quantity/description, and submit successfully.","—","Implementation, typecheck, lint, and build pass. Live treatment submission remains before marking done."
"P4.4","Encounters","[15:47-22:14] Patient Encounters and Medical Records Management","Confirmation prompt for encounter completion","High","in_progress","no","Desktop-table and responsive-card encounter actions now open the shared `ConfirmDialog` with the explicit question `Are you sure you want to complete this encounter?`; the close mutation runs only from confirmation. Mark no-show uses the same safety pattern. The Flutter clinic screen is currently read-only and exposes no completion mutation to guard.","(a) Run live Cancel and Confirm paths. (b) Confirm repeat submission is disabled while pending. (c) Add an AlertDialog if a future mobile release exposes encounter completion.","frontend/src/components/ConfirmDialog.tsx; frontend/src/pages/ClinicPage.tsx","Open an active encounter and choose Complete encounter. Confirm the dialog appears. Cancel and verify the encounter remains open. Repeat, confirm, and verify it closes once. Repeat the no-show confirmation path on an eligible encounter.","—","Implementation, typecheck, lint, and build pass. Live mutation verification remains before marking done."
